,Date,Original,Predictions
0,2020-05-19,43.05,47.780926
1,2020-05-20,43.35,46.204098
2,2020-05-21,46.1,45.1295
3,2020-05-22,43.6,45.3355
4,2020-05-26,43.55,45.10949
5,2020-05-27,43.2,44.868446
6,2020-05-28,44.4,44.593224
7,2020-05-29,42.45,44.752285
8,2020-06-01,46.4,44.404797
9,2020-06-02,47.7,45.211754
10,2020-06-03,47.15,46.492348
11,2020-06-04,45.75,47.388985
12,2020-06-05,48.35,47.489273
13,2020-06-08,53.05,48.11684
14,2020-06-09,50.75,50.135166
15,2020-06-10,52.7,51.201324
16,2020-06-11,51.1,52.327526
17,2020-06-12,52.35,52.566006
18,2020-06-15,51.75,52.87296
19,2020-06-16,50.85,52.865273
